book_id,title,author_id,genre,price
1,Harry Potter and the Philosopher's Stone,1,Fantasy,12.99
2,The Shining,2,Horror,14.99
3,A Game of Thrones,3,Fantasy,16.99
4,Murder on the Orient Express,4,Mystery,11.99
5,The Da Vinci Code,5,Thriller,13.99
6,The Handmaid's Tale,6,Dystopian,15.99
7,Norwegian Wood,7,Literary Fiction,13.49
8,The Alchemist,8,Philosophical Fiction,10.99
9,The House of the Spirits,9,Magical Realism,14.49
10,American Gods,10,Fantasy,15.99
11,Gone Girl,11,Thriller,12.99
12,The Firm,12,Legal Thriller,13.99
13,Along Came a Spider,13,Crime Fiction,11.99
14,The Gift,14,Romance,10.99
15,The Pillars of the Earth,15,Historical Fiction,16.99
16,The Hunt for Red October,16,Thriller,14.99
17,Jurassic Park,17,Science Fiction,13.99
18,Foundation,18,Science Fiction,12.99
19,The Old Man and the Sea,19,Literary Fiction,9.99
20,The Adventures of Tom Sawyer,20,Classic,10.99

